	영화명	감독	주연배우	평점	평가자수	상영시간
50	가려진 시간	엄태화	"['강동원', ' 신은수', ' 이효제']"	8.57	4421	129
51	가문의 영광4 - 가문의 수난	정태원	"['김수미', ' 신현준', ' 탁재훈', ' 임형준', ' 정준하', ' 현영']"	4.15	3727	103
52	가문의 영광5 - 가문의 귀환	정용기	"['정준호', ' 김민정', ' 유동근', ' 성동일', ' 박상욱', ' 박근형', ' 윤두준', ' 왕석현', ' 유혜정', ' 김태환', ' 손나은', ' 황광희', ' 유민']"	6.05	2072	104
53	가버나움	나딘 라바키	"['자인 알 라피아', ' 요르다노스 시프로우']"	9.6	3434	126
54	가비	장윤현	['미하엘 페터 나탄스키']	6.85	1378	30
55	가시	김태균	['구로사와 아스카']	6.86	1975	20
56	가을 우체국	임왕태	"['보아', ' 이학주']"	6.92	113	84
57	가장 보통의 연애	김한결	"['김래원', ' 공효진']"	7.72	7891	109
58	간기남	김형준	"['박희순', ' 박시연', ' 주상욱', ' 김정태', ' 이한위', ' 이광수']"	6.91	2329	117
59	간신	민규동	"['주지훈', ' 김강우', ' 천호진', ' 임지연', ' 이유영']"	6.9	6388	131
60	간첩	우민호	"['김명민', ' 염정아', ' 유해진', ' 변희봉', ' 정겨운']"	7.16	3827	115
61	감기	김성수	"['설종환', ' 박채은']"	6.92	13620	21
62	감쪽같은 그녀	허인무	"['나문희', ' 김수안']"	7.67	2059	104
63	갓 오브 이집트	알렉스 프로야스	"['제라드 버틀러', ' 브렌튼 스웨이츠', ' 제프리 러쉬', ' 니콜라이 코스터-왈도']"	7.38	4416	126
64	강남 1970	유하	"['이민호', ' 김래원', ' 정진영']"	7.16	8912	135
65	강철대오:구국의 철가방	육상효	"['김인권', ' 유다인', ' 조정석', ' 박철민']"	6.47	1509	113
66	강철비	양우석	"['정우성', ' 곽도원', ' 유연석', ' 앵거스 맥페이든']"	4.98	18049	142
67	강철비2: 정상회담	양우석	"['정우성', ' 곽도원', ' 유연석', ' 앵거스 맥페이든']"	4.98	18049	142
68	개구리왕국	넬슨 신	"['사문영', ' 이경태', ' 임주현', ' 홍진욱', ' 윤세웅', ' 이현']"	7	50	85
69	개구쟁이 스머프	라자 고스넬	"['맨디 파틴킨', ' 데미 로바토', ' 레인 윌슨', ' 조 맨가니엘로', ' 잭 맥브레이어']"	8.56	1440	89
70	개구쟁이 스머프 2	라자 고스넬	"['크리스티나 리치', ' 닐 패트릭 해리스', ' 알란 커밍', ' 행크 아자리아', ' 케이티 페리', ' 제이마 메이스', ' J. B. 스무브', ' 존 올리버', ' 마이린 로비치', ' 카롤리나 바르체', ' 안톤 옐친']"	7.85	406	104
71	개들의 섬	웨스 앤더슨	"['브라이언 크랜스톤', ' 틸다 스윈튼', ' 빌 머레이', ' 에드워드 노튼', ' 코유 랜킨', ' 리브 슈라이버', ' 쿠니치 노무라']"	8.36	699	101
72	개들의 전쟁	조병옥	"['김무열', ' 진선규']"	7.3	978	96
73	개를 훔치는 완벽한 방법	김성호	"['이레', ' 이지원', ' 홍은택', ' 김혜자', ' 최민수', ' 강혜정', ' 이천희', ' 개리']"	9.04	3667	109
74	개에게 처음 이름을 지어준 날	야마다 아카네	['고바야시 사토미']	7.98	63	107
75	갤럭시 히어로즈: 라쳇 앤 클랭크	케빈 먼로	"['폴 지아마티', ' 존 굿맨', ' 벨라 손', ' 로사리오 도슨', ' 제임스 아놀드 테일러', ' 데이비드 카에', ' 실베스터 스탤론', ' 브래드 스웨일', ' 이안 제임스 코렛']"	7.9	154	85
76	갬빗	마이클 호프만	['채닝 테이텀']	7.08	238	20
77	갱	조바른	"['차지혁', ' 조선기', ' 옥윤중', ' 백재민', ' 김대한', ' 이정현']"	6.03	149	94
78	거울나라의 앨리스	제임스 보빈	"['조니 뎁', ' 미아 와시코브스카', ' 헬레나 본햄 카터', ' 사샤 바론 코헨', ' 앤 해서웨이', ' 마이클 쉰', ' 앨런 릭먼']"	8.27	2767	112
79	거인	김태용	['에멜린 페네']	8.93	957	6
80	건즈 아킴보	제이슨 레이 하우덴	"['다니엘 래드클리프', ' 사마라 위빙', ' 네드 데네히', ' 나타샤 류 보르디초']"	6.45	243	97
81	건축학개론	이용주	"['엄태웅', ' 한가인', ' 이제훈', ' 수지']"	8.67	15277	118
82	걷기왕	백승화	"['심은경', ' 박주희']"	7.77	1312	93
83	걸 온 더 트레인	테이트 테일러	"['레베카 퍼거슨', ' 에밀리 블런트', ' 루크 에반스', ' 헤일리 베넷']"	7.38	383	112
84	걸리버 여행기	롭 레터맨	"['잭 블랙', ' 제이슨 세걸', ' 에밀리 블런트', ' 아만다 피트']"	5.73	3722	87
